Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1
1	9	Do5	C5	318	318	1	12	167	95	96	ARANAĞME 
2	9	Si4b2	B4b1	312	313	1	12	167	95	96	.
3	9	La4	A4	305	305	1	12	167	95	96	.
4	9	Sol4	G4	296	296	1	12	167	95	96	.
5	9	Fa4#3	F4#4	290	291	1	12	167	95	96	.
6	9	Mi4	E4	283	283	1	12	167	95	96	.
7	9	Re4	D4	274	274	1	4	500	95	96	.
8	9	Sol4	G4	296	296	1	8	250	95	96	.
9	9	Fa4#3	F4#4	290	291	1	8	250	95	96	.
10	9	Sol4	G4	296	296	1	8	250	95	96	.
11	9	La4	A4	305	305	3	4	1500	95	96	.
12	9	Sol4	G4	296	296	1	8	250	95	96	.
13	9	La4	A4	305	305	1	8	250	95	96	.
14	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
15	9	Do5	C5	318	318	3	4	1500	95	96	.
16	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
17	9	La4	A4	305	305	1	8	250	95	96	.
18	9	Sol4	G4	296	296	1	8	250	95	96	.
19	9	Re5	D5	327	327	3	4	1500	95	96	.
20	9	Do5	C5	318	318	1	8	250	95	96	.
21	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
22	9	La4	A4	305	305	1	8	250	95	96	.
23	9	Si4b2	B4b1	312	313	1	16	125	95	96	.
24	9	Do5	C5	318	318	1	16	125	95	96	.
25	9	Si4b2	B4b1	312	313	1	16	125	95	96	.
26	9	La4	A4	305	305	1	16	125	95	96	.
27	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
28	9	Do5	C5	318	318	1	8	250	95	96	.
29	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
30	9	La4	A4	305	305	1	8	250	95	96	.
31	9	Sol4	G4	296	296	1	8	250	95	96	.
32	9	Fa4#3	F4#4	290	291	1	8	250	95	96	.
33	9	Sol4	G4	296	296	1	8	250	95	96	.
34	9	La4	A4	305	305	3	8	750	95	96	.
35	9	Do5	C5	318	318	1	8	250	95	96	.
36	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
37	9	Do5	C5	318	318	1	8	250	95	96	.
38	9	La4	A4	305	305	3	8	750	67	96	.  
39	9	Do5	C5	318	318	1	12	167	95	96	ARANAĞME 
40	9	Si4b2	B4b1	312	313	1	12	167	95	96	.
41	9	La4	A4	305	305	1	12	167	95	96	.
42	9	Sol4	G4	296	296	1	12	167	95	96	.
43	9	Fa4#3	F4#4	290	291	1	12	167	95	96	.
44	9	Mi4	E4	283	283	1	12	167	95	96	.
45	9	Re4	D4	274	274	1	4	500	95	96	.
46	9	Sol4	G4	296	296	1	8	250	95	96	.
47	9	Fa4#3	F4#4	290	291	1	8	250	95	96	.
48	9	Sol4	G4	296	296	1	8	250	95	96	.
49	9	La4	A4	305	305	3	4	1500	95	96	.
50	9	Sol4	G4	296	296	1	8	250	95	96	.
51	9	La4	A4	305	305	1	8	250	95	96	.
52	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
53	9	Do5	C5	318	318	3	4	1500	95	96	.
54	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
55	9	La4	A4	305	305	1	8	250	95	96	.
56	9	Sol4	G4	296	296	1	8	250	95	96	.
57	9	Re5	D5	327	327	3	4	1500	95	96	.
58	9	Do5	C5	318	318	1	8	250	95	96	.
59	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
60	9	La4	A4	305	305	1	8	250	95	96	.
61	9	Si4b2	B4b1	312	313	1	16	125	95	96	.
62	9	Do5	C5	318	318	1	16	125	95	96	.
63	9	Si4b2	B4b1	312	313	1	16	125	95	96	.
64	9	La4	A4	305	305	1	16	125	95	96	.
65	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
66	9	Do5	C5	318	318	1	8	250	95	96	.
67	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
68	9	La4	A4	305	305	1	8	250	95	96	.
69	9	Sol4	G4	296	296	1	8	250	95	96	.
70	9	Fa4#3	F4#4	290	291	1	8	250	95	96	.
71	9	Sol4	G4	296	296	1	8	250	95	96	.
72	9	La4	A4	305	305	3	8	750	95	96	.
73	9	Do5	C5	318	318	1	8	250	95	96	.
74	9	Si4b2	B4b1	312	313	1	8	250	95	96	.
75	9	Do5	C5	318	318	1	8	250	95	96	.
76	9	La4	A4	305	305	3	8	750	67	96	.  
77	9	Sol4	G4	296	296	1	8	250	95	96	Bu 
78	9	Sol4	G4	296	296	1	4	500	99	96	ak
79	9	La4	A4	305	305	1	8	250	95	96	
80	9	La4	A4	305	305	1	4	500	95	96	şam 
81	9	La4	A4	305	305	3	8	750	95	96	gün 
82	9	La4	A4	305	305	1	8	250	95	96	ba
83	9	Do5	C5	318	318	1	8	250	99	96	tar
84	9	Si4b2	B4b1	312	313	1	8	250	99	96	
85	9	La4	A4	305	305	1	8	250	95	96	
86	9	La4	A4	305	305	1	16	125	99	96	ken 
87	9	Sol4	G4	296	296	1	16	125	95	96	
88	9	La4	A4	305	305	1	16	125	99	96	gel  
89	9	Si4b2	B4b1	312	313	1	16	125	99	96	
90	9	La4	A4	305	305	1	16	125	99	96	
91	9	Sol4	G4	296	296	1	16	125	99	96	
92	9	Fa4#3	F4#4	290	291	1	16	125	99	96	
93	9	Mi4	E4	283	283	1	16	125	99	96	
94	9	Re4	D4	274	274	1	8	250	95	96	
95	9	Sol4	G4	296	296	1	8	250	95	96	Bu 
96	9	Sol4	G4	296	296	1	4	500	99	96	ak
97	9	La4	A4	305	305	1	8	250	95	96	
98	9	La4	A4	305	305	1	4	500	95	96	şam 
99	9	La4	A4	305	305	3	8	750	95	96	gün 
100	9	Sol4	G4	296	296	1	8	250	95	96	ba
101	9	Do5	C5	318	318	1	4	500	99	96	tar
102	9	Si4b2	B4b1	312	313	1	8	250	95	96	
103	9	Si4b2	B4b1	312	313	1	8	250	99	96	ken 
104	9	La4	A4	305	305	1	8	250	95	96	
105	9	Si4b2	B4b1	312	313	3	8	750	100	96	gel  
106	9	Si4b2	B4b1	312	313	2	8	500	95	96	
107	9	Sol4	G4	296	296	1	8	250	95	96	Sa
108	9	Sol4	G4	296	296	1	8	250	95	96	kın 
109	9	Sol4	G4	296	296	1	4	500	95	96	geç 
110	9	Do5	C5	318	318	1	4	500	95	96	kal
111	9	Do5	C5	318	318	1	8	250	95	96	ma 
112	9	Si4b2	B4b1	312	313	3	16	375	99	96	er
113	9	La4	A4	305	305	1	16	125	95	96	
114	9	Sol4	G4	296	296	1	4	500	95	96	ken 
115	9	Re5	D5	327	327	5	8	1250	100	96	gel  
116	9	Re5	D5	327	327	2	8	500	95	96	
117	9	Do5	C5	318	318	1	8	250	95	96	A
118	9	Do5	C5	318	318	1	8	250	95	96	man 
119	9	Si4b2	B4b1	312	313	1	8	250	99	96	geç 
120	9	La4	A4	305	305	1	8	250	95	96	
121	9	La4	A4	305	305	1	8	250	99	96	kal
122	9	Si4b2	B4b1	312	313	1	8	250	95	96	
123	9	Do5	C5	318	318	1	8	250	95	96	ma 
124	9	Si4b2	B4b1	312	313	3	16	375	99	96	er
125	9	La4	A4	305	305	1	16	125	95	96	
126	9	Sol4	G4	296	296	1	8	250	99	96	ken 
127	9	Si4b2	B4b1	312	313	1	16	125	99	96	
128	9	La4	A4	305	305	1	16	125	95	96	
129	9	La4	A4	305	305	1	4	500	95	96	gel  
130	9	Mi5	E5	336	336	1	16	125	95	96	SAZ
131	9	Fa5	F5	340	340	1	16	125	95	96	.
132	9	Mi5	E5	336	336	1	16	125	95	96	.
133	9	Re5	D5	327	327	1	16	125	95	96	.
134	9	Do5	C5	318	318	1	16	125	95	96	.
135	9	Re5	D5	327	327	1	16	125	95	96	.
136	9	Mi5	E5	336	336	1	4	500	95	96	.
137	9	Do5	C5	318	318	1	8	250	95	96	Ta
138	9	Re5	D5	327	327	1	8	250	95	96	ham
139	9	Mi5	E5	336	336	1	4	500	95	96	mül 
140	9	Mi5	E5	336	336	1	4	500	99	96	kal
141	9	Re5	D5	327	327	1	8	250	95	96	
142	9	Mi5	E5	336	336	1	8	250	95	96	ma
143	9	Fa5	F5	340	340	1	16	125	99	96	dı 
144	9	Sol5	G5	349	349	1	16	125	99	96	
145	9	Mi5	E5	336	336	1	8	250	99	96	
146	9	Re5	D5	327	327	1	8	250	95	96	
147	9	Re5	D5	327	327	1	8	250	99	96	ar
148	8	Fa5	F5	340	340	0	0	0	99	96	
149	9	Mi5	E5	336	336	1	16	125	99	96	
150	9	Re5	D5	327	327	1	16	125	95	96	
151	9	Re5	D5	327	327	3	8	750	100	96	tık  
152	9	Re5	D5	327	327	2	8	500	95	96	
153	9	Do5	C5	318	318	1	8	250	95	96	Ta
154	9	Re5	D5	327	327	1	8	250	95	96	ham
155	9	Mi5	E5	336	336	1	8	250	99	96	mül 
156	9	Fa5	F5	340	340	1	8	250	95	96	
157	9	La5	A5	358	358	1	16	125	99	96	kal
